               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.015993,           0.0071129,            0.030715,             0.37633,             0.81389,             0.67573,             0.63609,           0.0030626,           0.0015683,            0.012131,             0.00208,             0.00208,             0.00208
                  82,           0.0098661,           0.0070509,            0.023359,             0.45014,             0.75858,             0.59916,             0.56373,           0.0020161,           0.0013419,            0.011948,            0.001981,            0.001981,            0.001981
                  83,            0.010447,           0.0066125,             0.02303,             0.41174,             0.92585,             0.58585,             0.58585,           0.0052413,           0.0013713,            0.012238,            0.001882,            0.001882,            0.001882
                  84,            0.010953,           0.0070746,            0.023337,             0.40708,                0.95,             0.60304,             0.53974,           0.0034974,            0.001317,            0.012672,            0.001783,            0.001783,            0.001783
                  85,            0.010088,           0.0059954,             0.02401,             0.40297,             0.92043,             0.55188,             0.55188,           0.0037266,           0.0013164,            0.012756,            0.001684,            0.001684,            0.001684
                  86,           0.0087887,           0.0067975,            0.023167,             0.39598,             0.89509,             0.55206,             0.53181,           0.0025224,           0.0013309,             0.01284,            0.001585,            0.001585,            0.001585
                  87,           0.0079576,           0.0052749,            0.023038,             0.37615,             0.83506,             0.59219,             0.59219,           0.0055675,           0.0014729,            0.012688,            0.001486,            0.001486,            0.001486
                  88,            0.010581,           0.0071546,            0.022756,             0.38857,                 0.8,             0.58836,             0.58836,            0.002369,           0.0016053,            0.012482,            0.001387,            0.001387,            0.001387
                  89,            0.016336,           0.0067361,            0.026454,             0.41422,             0.66145,             0.58966,             0.52783,           0.0033876,           0.0017673,            0.012169,            0.001288,            0.001288,            0.001288
                  90,           0.0086291,           0.0072911,            0.023498,             0.40411,             0.69247,             0.59481,             0.56574,           0.0026063,           0.0017807,            0.012154,            0.001189,            0.001189,            0.001189
                  91,           0.0082664,           0.0062499,            0.024133,             0.39509,                 0.8,             0.59864,             0.56986,            0.004103,           0.0017376,            0.011696,             0.00109,             0.00109,             0.00109
                  92,           0.0090188,            0.007084,             0.02453,             0.45185,             0.87101,              0.6292,             0.55688,           0.0022366,           0.0016833,            0.011398,            0.000991,            0.000991,            0.000991
                  93,            0.010738,           0.0071423,             0.02378,             0.43511,             0.83391,              0.6292,             0.56416,           0.0025782,           0.0016986,            0.011391,            0.000892,            0.000892,            0.000892
                  94,           0.0075245,           0.0065053,            0.023018,             0.43695,             0.85415,             0.62337,             0.56347,           0.0021671,           0.0017979,            0.011284,            0.000793,            0.000793,            0.000793
                  95,           0.0089486,           0.0068803,            0.024883,             0.43843,             0.86784,             0.63146,             0.56882,           0.0017665,           0.0019171,            0.011444,            0.000694,            0.000694,            0.000694
                  96,            0.013396,           0.0065443,            0.026277,             0.43631,             0.86186,             0.63337,             0.58627,           0.0019915,           0.0019429,             0.01149,            0.000595,            0.000595,            0.000595
                  97,           0.0080064,           0.0061419,            0.024838,             0.40214,             0.83893,              0.6294,             0.58267,           0.0027419,           0.0019724,            0.011559,            0.000496,            0.000496,            0.000496
                  98,           0.0080846,           0.0061772,            0.024688,             0.39527,             0.85009,             0.60217,             0.56619,            0.002404,            0.002005,            0.011703,            0.000397,            0.000397,            0.000397
                  99,           0.0074992,           0.0061283,            0.021507,             0.40288,             0.87543,             0.60505,             0.57284,           0.0022082,            0.001988,            0.011734,            0.000298,            0.000298,            0.000298
